metric,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Interest Income,135000000.0,168000000.0,162000000.0,125000000.0,AAL,,,,
Normalized Income,26110000.0,204572463.768116,1338000000.0,26590000.0,AAL,,,,
Net Income From Continuing And Discontinued Operation,19000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Total Expenses,12397000000.0,12756000000.0,11892000000.0,11730000000.0,AAL,,,,
Rent Expense Supplemental,1052000000.0,1087000000.0,1106000000.0,1052000000.0,AAL,,,,
Total Operating Income As Reported,656000000.0,-223000000.0,2163000000.0,438000000.0,AAL,,,,
Diluted Average Shares,,654119000.0,719345000.0,656707000.0,AAL,,,,
Basic Average Shares,,654119000.0,653602000.0,652000000.0,AAL,,,,
Diluted EPS,,-0.83,1.88,0.02,AAL,,,,
Basic EPS,,-0.83,2.05,0.02,AAL,,,,
Diluted NI Availto Com Stockholders,-14000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Average Dilution Earnings,,0.0,,,AAL,,,,
Net Income Common Stockholders,19000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Net Income,19000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Net Income Including Noncontrolling Interests,19000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Net Income Continuous Operations,19000000.0,-545000000.0,1338000000.0,10000000.0,AAL,,,,
Tax Provision,13000000.0,-145000000.0,425000000.0,7000000.0,AAL,,,,
Pretax Income,32000000.0,-690000000.0,1763000000.0,17000000.0,AAL,,,,
Other Income Expense,-249000000.0,-1047000000.0,-14000000.0,-27000000.0,AAL,,,,
Other Non Operating Income Expenses,-240000000.0,-98000000.0,-14000000.0,-6000000.0,AAL,,,,
Special Income Charges,-9000000.0,-949000000.0,,-21000000.0,AAL,,,,
Other Special Charges,7000000.0,949000000.0,,,AAL,,,,
Impairment Of Capital Assets,0.0,0.0,,0.0,AAL,,,,
Restructuring And Mergern Acquisition,2000000.0,0.0,,21000000.0,AAL,,,,
Net Non Operating Interest Income Expense,-384000000.0,-369000000.0,-386000000.0,-415000000.0,AAL,,,,
Interest Expense Non Operating,519000000.0,537000000.0,548000000.0,540000000.0,AAL,,,,
Interest Income Non Operating,135000000.0,168000000.0,162000000.0,125000000.0,AAL,,,,
Operating Income,665000000.0,726000000.0,2163000000.0,459000000.0,AAL,,,,
Operating Expense,1961000000.0,1961000000.0,1984000000.0,1890000000.0,AAL,,,,
Other Operating Expenses,1519000000.0,1531000000.0,1495000000.0,1452000000.0,AAL,,,,
Selling General And Administration,442000000.0,430000000.0,489000000.0,438000000.0,AAL,,,,
Selling And Marketing Expense,442000000.0,430000000.0,489000000.0,438000000.0,AAL,,,,
Gross Profit,2626000000.0,2687000000.0,4147000000.0,2349000000.0,AAL,,,,
Cost Of Revenue,10436000000.0,10795000000.0,9908000000.0,9840000000.0,AAL,,,,
Total Revenue,13062000000.0,13482000000.0,14055000000.0,12189000000.0,AAL,,,,
Operating Revenue,12209000000.0,12614000000.0,13175000000.0,11326000000.0,AAL,,,,
Tax Effect Of Unusual Items,,,,,KBH,0.0,0.0,0.0,0.0
Tax Rate For Calcs,,,,,KBH,0.246992,0.229,0.235,0.226
Normalized EBITDA,,,,,KBH,197949000.0,194230000.0,217148000.0,169620000.0
Total Unusual Items,,,,,KBH,0.0,0.0,,
Total Unusual Items Excluding Goodwill,,,,,KBH,0.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Reconciled Depreciation,,,,,KBH,9427000.0,9226000.0,9048000.0,8712000.0
Reconciled Cost Of Revenue,,,,,KBH,1321882000.0,1241910000.0,1388030000.0,1084179000.0
EBITDA,,,,,KBH,197949000.0,194230000.0,217148000.0,169620000.0
EBIT,,,,,KBH,188522000.0,185004000.0,208100000.0,160908000.0
Net Interest Income,,,,,KBH,6071000.0,5492000.0,1729000.0,467000.0
Interest Income,,,,,KBH,6071000.0,5492000.0,1729000.0,467000.0
Normalized Income,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Net Income From Continuing And Discontinued Operation,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Total Expenses,,,,,KBH,1485466000.0,1402007000.0,1557216000.0,1223406000.0
Total Operating Income As Reported,,,,,KBH,180904000.0,179242000.0,202102000.0,156489000.0
Diluted Average Shares,,,,,KBH,80511000.0,82732000.0,84306000.0,85995000.0
Basic Average Shares,,,,,KBH,77986000.0,80175000.0,81764000.0,83468000.0
Diluted EPS,,,,,KBH,1.85,1.8,1.94,1.45
Basic EPS,,,,,KBH,1.91,1.86,2.0,1.49
Diluted NI Availto Com Stockholders,,,,,KBH,149206000.0,148846000.0,163266000.0,124659000.0
Average Dilution Earnings,,,,,KBH,32000.0,31000.0,34000.0,23000.0
Net Income Common Stockholders,,,,,KBH,149174000.0,148815000.0,163232000.0,124636000.0
Otherunder Preferred Stock Dividend,,,,,KBH,1128000.0,1118000.0,1210000.0,864000.0
Net Income,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Net Income Including Noncontrolling Interests,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Net Income Continuous Operations,,,,,KBH,150302000.0,149933000.0,164442000.0,125500000.0
Tax Provision,,,,,KBH,49300000.0,44600000.0,50500000.0,36700000.0
Pretax Income,,,,,KBH,199602000.0,194533000.0,214942000.0,162200000.0
Other Income Expense,,,,,KBH,5009000.0,4037000.0,5113000.0,825000.0
Special Income Charges,,,,,KBH,0.0,0.0,,
Earnings From Equity Interest,,,,,KBH,5009000.0,4037000.0,5113000.0,825000.0
Net Non Operating Interest Income Expense,,,,,KBH,6071000.0,5492000.0,1729000.0,467000.0
Interest Income Non Operating,,,,,KBH,6071000.0,5492000.0,1729000.0,467000.0
Operating Income,,,,,KBH,188522000.0,185004000.0,208100000.0,160908000.0
Operating Expense,,,,,KBH,163584000.0,160097000.0,169186000.0,139227000.0
Selling General And Administration,,,,,KBH,163584000.0,160097000.0,169186000.0,139227000.0
General And Administrative Expense,,,,,KBH,,160097000.0,169186000.0,139227000.0
Other Gand A,,,,,KBH,,160097000.0,169186000.0,139227000.0
Gross Profit,,,,,KBH,352106000.0,345101000.0,377286000.0,300135000.0
Cost Of Revenue,,,,,KBH,1321882000.0,1241910000.0,1388030000.0,1084179000.0
Total Revenue,,,,,KBH,1673988000.0,1587011000.0,1765316000.0,1384314000.0
Operating Revenue,,,,,KBH,1673988000.0,1587011000.0,1765316000.0,1384314000.0
Tax Effect Of Unusual Items,1545454.545455,4440000.0,2290000.0,3080000.0,LUV,,,,
Tax Rate For Calcs,0.118881,0.185,0.229,0.22,LUV,,,,
Normalized EBITDA,174000000.0,647000000.0,1303000000.0,206000000.0,LUV,,,,
Total Unusual Items,13000000.0,24000000.0,10000000.0,14000000.0,LUV,,,,
Total Unusual Items Excluding Goodwill,13000000.0,24000000.0,10000000.0,14000000.0,LUV,,,,
Net Income From Continuing Operation Net Minority Interest,-252000000.0,193000000.0,683000000.0,-159000000.0,LUV,,,,
Reconciled Depreciation,415000000.0,375000000.0,367000000.0,365000000.0,LUV,,,,
Reconciled Cost Of Revenue,6096000000.0,5450000000.0,5286000000.0,5038000000.0,LUV,,,,
EBITDA,187000000.0,671000000.0,1313000000.0,220000000.0,LUV,,,,
EBIT,-228000000.0,296000000.0,946000000.0,-145000000.0,LUV,,,,
Net Interest Income,100000000.0,97000000.0,84000000.0,65000000.0,LUV,,,,
Interest Expense,58000000.0,59000000.0,60000000.0,60000000.0,LUV,,,,
Interest Income,158000000.0,156000000.0,144000000.0,125000000.0,LUV,,,,
Normalized Income,-263454545.454545,173440000.0,675290000.0,-169920000.0,LUV,,,,
Net Income From Continuing And Discontinued Operation,-252000000.0,193000000.0,683000000.0,-159000000.0,LUV,,,,
Total Expenses,7227000000.0,6408000000.0,6242000000.0,5990000000.0,LUV,,,,
Rent Expense Supplemental,465000000.0,457000000.0,459000000.0,408000000.0,LUV,,,,
Total Operating Income As Reported,-404000000.0,117000000.0,795000000.0,-284000000.0,LUV,,,,
Diluted Average Shares,596000000.0,640000000.0,639000000.0,594000000.0,LUV,,,,
Basic Average Shares,596000000.0,596000000.0,595000000.0,594000000.0,LUV,,,,
Diluted EPS,-0.37,0.31,1.08,-0.27,LUV,,,,
Basic EPS,-0.37,0.32,1.15,-0.27,LUV,,,,
Diluted NI Availto Com Stockholders,-233000000.0,193000000.0,688000000.0,-159000000.0,LUV,,,,
Net Income Common Stockholders,-233000000.0,193000000.0,688000000.0,-159000000.0,LUV,,,,
Otherunder Preferred Stock Dividend,,,-5000000.0,0.0,LUV,,,,
Net Income,-252000000.0,193000000.0,683000000.0,-159000000.0,LUV,,,,
Net Income Including Noncontrolling Interests,-252000000.0,193000000.0,683000000.0,-159000000.0,LUV,,,,
Net Income Continuous Operations,-252000000.0,193000000.0,683000000.0,-159000000.0,LUV,,,,
Tax Provision,-34000000.0,44000000.0,203000000.0,-46000000.0,LUV,,,,
Pretax Income,-286000000.0,237000000.0,886000000.0,-205000000.0,LUV,,,,
Other Income Expense,18000000.0,23000000.0,7000000.0,14000000.0,LUV,,,,
Other Non Operating Income Expenses,5000000.0,-1000000.0,-3000000.0,,LUV,,,,
Special Income Charges,0.0,0.0,0.0,0.0,LUV,,,,
Gain On Sale Of Security,13000000.0,24000000.0,10000000.0,14000000.0,LUV,,,,
Net Non Operating Interest Income Expense,100000000.0,97000000.0,84000000.0,65000000.0,LUV,,,,
Interest Expense Non Operating,58000000.0,59000000.0,60000000.0,60000000.0,LUV,,,,
Interest Income Non Operating,158000000.0,156000000.0,144000000.0,125000000.0,LUV,,,,
Operating Income,-404000000.0,117000000.0,795000000.0,-284000000.0,LUV,,,,
Operating Expense,1131000000.0,958000000.0,956000000.0,952000000.0,LUV,,,,
Other Operating Expenses,1131000000.0,958000000.0,956000000.0,952000000.0,LUV,,,,
Gross Profit,727000000.0,1075000000.0,1751000000.0,668000000.0,LUV,,,,
Cost Of Revenue,6096000000.0,5450000000.0,5286000000.0,5038000000.0,LUV,,,,
Total Revenue,6823000000.0,6525000000.0,7037000000.0,5706000000.0,LUV,,,,
Operating Revenue,6255000000.0,5956000000.0,6456000000.0,5146000000.0,LUV,,,,
Tax Effect Of Unusual Items,-550925.846684,-3741780.0,-9092580.0,-2527777.777778,BATRA,,,,
Tax Rate For Calcs,0.155717,0.21,0.21,0.180556,BATRA,,,,
Normalized EBITDA,-9367000.0,50970000.0,51224000.0,-34000000.0,BATRA,,,,
Total Unusual Items,-3538000.0,-17818000.0,-43298000.0,-14000000.0,BATRA,,,,
Total Unusual Items Excluding Goodwill,-3538000.0,-17818000.0,-43298000.0,-14000000.0,BATRA,,,,
Net Income From Continuing Operation Net Minority Interest,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Reconciled Depreciation,15765000.0,21286000.0,18929000.0,15000000.0,BATRA,,,,
Reconciled Cost Of Revenue,54350000.0,200442000.0,198052000.0,,BATRA,,,,
EBITDA,-12905000.0,33152000.0,7926000.0,-48000000.0,BATRA,,,,
EBIT,-28670000.0,11866000.0,-11324000.0,-63000000.0,BATRA,,,,
Net Interest Income,-9656000.0,-9657000.0,-9448000.0,-9000000.0,BATRA,,,,
Interest Expense,9656000.0,9657000.0,9448000.0,9000000.0,BATRA,,,,
Normalized Income,-29370925.846684,8029220.0,5292420.0,-47527777.777778,BATRA,,,,
Net Income From Continuing And Discontinued Operation,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Total Expenses,100114000.0,256074000.0,250424000.0,80000000.0,BATRA,,,,
Total Operating Income As Reported,-32366000.0,15716000.0,19467000.0,-49000000.0,BATRA,,,,
Diluted Average Shares,,60470000.0,61719290.0,53105022.0,BATRA,,,,
Basic Average Shares,,60470000.0,61719290.0,53105022.0,BATRA,,,,
Diluted EPS,,-0.1,-0.54436,-1.111006,BATRA,,,,
Basic EPS,,-0.1,-0.54436,-1.111006,BATRA,,,,
Diluted NI Availto Com Stockholders,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Net Income Common Stockholders,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Net Income,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Minority Interests,,,,0.0,BATRA,,,,
Net Income Including Noncontrolling Interests,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Net Income Continuous Operations,-32358000.0,-6047000.0,-28913000.0,-59000000.0,BATRA,,,,
Tax Provision,-5968000.0,8256000.0,8141000.0,-13000000.0,BATRA,,,,
Pretax Income,-38326000.0,2209000.0,-20772000.0,-72000000.0,BATRA,,,,
Other Income Expense,3696000.0,-3884000.0,-31023000.0,-14000000.0,BATRA,,,,
Other Non Operating Income Expenses,3633000.0,1209000.0,813000.0,1000000.0,BATRA,,,,
Special Income Charges,-209000.0,-19000.0,2271000.0,,BATRA,,,,
Gain On Sale Of Ppe,-209000.0,15000.0,2503000.0,,BATRA,,,,
Impairment Of Capital Assets,0.0,34000.0,232000.0,,BATRA,,,,
Earnings From Equity Interest,3601000.0,12725000.0,11462000.0,-1000000.0,BATRA,,,,
Gain On Sale Of Security,-3329000.0,-17799000.0,-45569000.0,-14000000.0,BATRA,,,,
Net Non Operating Interest Income Expense,-9656000.0,-9657000.0,-9448000.0,-9000000.0,BATRA,,,,
Interest Expense Non Operating,9656000.0,9657000.0,9448000.0,9000000.0,BATRA,,,,
Operating Income,-32366000.0,15750000.0,19699000.0,-49000000.0,BATRA,,,,
Operating Expense,45764000.0,55632000.0,52693000.0,80000000.0,BATRA,,,,
Other Operating Expenses,,,,39000000.0,BATRA,,,,
Depreciation Amortization Depletion Income Statement,15765000.0,21286000.0,19250000.0,15000000.0,BATRA,,,,
Depreciation And Amortization In Income Statement,15765000.0,21286000.0,19250000.0,15000000.0,BATRA,,,,
Selling General And Administration,29999000.0,34346000.0,33443000.0,26000000.0,BATRA,,,,
Gross Profit,13398000.0,71382000.0,72392000.0,,BATRA,,,,
Cost Of Revenue,54350000.0,200442000.0,197731000.0,,BATRA,,,,
Total Revenue,67748000.0,271824000.0,270123000.0,31000000.0,BATRA,,,,
Operating Revenue,67748000.0,271824000.0,270123000.0,0.0,BATRA,,,,
Tax Effect Of Unusual Items,0.0,-317351539.225422,-537600000.0,-897000.0,DIS,,,,
Tax Rate For Calcs,0.251,0.310824,0.21,0.299,DIS,,,,
Normalized EBITDA,4642000000.0,3938000000.0,4273000000.0,3940000000.0,DIS,,,,
Total Unusual Items,0.0,-1021000000.0,-2560000000.0,-3000000.0,DIS,,,,
Total Unusual Items Excluding Goodwill,0.0,-1021000000.0,-2560000000.0,-3000000.0,DIS,,,,
Net Income From Continuing Operation Net Minority Interest,1911000000.0,264000000.0,-460000000.0,1271000000.0,DIS,,,,
Reconciled Depreciation,1243000000.0,1409000000.0,1344000000.0,1310000000.0,DIS,,,,
Reconciled Cost Of Revenue,15587000000.0,13728000000.0,14471000000.0,14616000000.0,DIS,,,,
EBITDA,4642000000.0,2917000000.0,1713000000.0,3937000000.0,DIS,,,,
EBIT,3399000000.0,1508000000.0,369000000.0,2627000000.0,DIS,,,,
Net Interest Income,-246000000.0,-25000000.0,-392000000.0,-322000000.0,DIS,,,,
Interest Expense,528000000.0,501000000.0,503000000.0,504000000.0,DIS,,,,
Interest Income,282000000.0,476000000.0,111000000.0,182000000.0,DIS,,,,
Normalized Income,1911000000.0,967648460.774578,1562400000.0,1273103000.0,DIS,,,,
Net Income From Continuing And Discontinued Operation,1911000000.0,264000000.0,-460000000.0,1271000000.0,DIS,,,,
Total Expenses,20613000000.0,19158000000.0,19689000000.0,19540000000.0,DIS,,,,
Diluted Average Shares,1835000000.0,1833000000.0,1829000000.0,1831000000.0,DIS,,,,
Basic Average Shares,1832000000.0,1831000000.0,1829000000.0,1828000000.0,DIS,,,,
Diluted EPS,1.04,0.14,-0.25,0.69,DIS,,,,
Basic EPS,1.04,0.14,-0.25,0.7,DIS,,,,
Diluted NI Availto Com Stockholders,1911000000.0,264000000.0,-460000000.0,1271000000.0,DIS,,,,
Net Income Common Stockholders,1911000000.0,264000000.0,-460000000.0,1271000000.0,DIS,,,,
Net Income,1911000000.0,264000000.0,-460000000.0,1271000000.0,DIS,,,,
Minority Interests,-240000000.0,-430000000.0,-307000000.0,-217000000.0,DIS,,,,
Net Income Including Noncontrolling Interests,2151000000.0,694000000.0,-153000000.0,1488000000.0,DIS,,,,
Net Income Discontinuous Operations,,0.0,0.0,0.0,DIS,,,,
Net Income Continuous Operations,2151000000.0,694000000.0,-153000000.0,1488000000.0,DIS,,,,
Tax Provision,720000000.0,313000000.0,19000000.0,635000000.0,DIS,,,,
Pretax Income,2871000000.0,1007000000.0,-134000000.0,2123000000.0,DIS,,,,
Other Income Expense,181000000.0,-1051000000.0,-2383000000.0,170000000.0,DIS,,,,
Other Non Operating Income Expenses,,-257000000.0,-14000000.0,,DIS,,,,
Special Income Charges,0.0,-1021000000.0,-2650000000.0,-152000000.0,DIS,,,,
Restructuring And Mergern Acquisition,0.0,1021000000.0,2650000000.0,152000000.0,DIS,,,,
Earnings From Equity Interest,181000000.0,227000000.0,191000000.0,173000000.0,DIS,,,,
Gain On Sale Of Security,,0.0,90000000.0,149000000.0,DIS,,,,
Net Non Operating Interest Income Expense,-246000000.0,-25000000.0,-392000000.0,-322000000.0,DIS,,,,
Total Other Finance Cost,,,,-84000000.0,DIS,,,,
Interest Expense Non Operating,528000000.0,501000000.0,503000000.0,504000000.0,DIS,,,,
Interest Income Non Operating,282000000.0,476000000.0,111000000.0,182000000.0,DIS,,,,
Operating Income,2936000000.0,2083000000.0,2641000000.0,2275000000.0,DIS,,,,
Operating Expense,5026000000.0,5430000000.0,5218000000.0,4924000000.0,DIS,,,,
Depreciation Amortization Depletion Income Statement,1243000000.0,1409000000.0,1344000000.0,1310000000.0,DIS,,,,
Depreciation And Amortization In Income Statement,1243000000.0,1409000000.0,1344000000.0,1310000000.0,DIS,,,,
Selling General And Administration,3783000000.0,4021000000.0,3874000000.0,3614000000.0,DIS,,,,
Gross Profit,7962000000.0,7513000000.0,7859000000.0,7199000000.0,DIS,,,,
Cost Of Revenue,15587000000.0,13728000000.0,14471000000.0,14616000000.0,DIS,,,,
Total Revenue,23549000000.0,21241000000.0,22330000000.0,21815000000.0,DIS,,,,
Operating Revenue,23549000000.0,21241000000.0,22330000000.0,21815000000.0,DIS,,,,
Tax Effect Of Unusual Items,0.0,20832000.0,0.0,0.0,COOP,,,,
Tax Rate For Calcs,0.333333,0.217,0.284,0.21,COOP,,,,
Normalized EBITDA,82000000.0,208000000.0,212000000.0,53000000.0,COOP,,,,
Total Unusual Items,0.0,96000000.0,,,COOP,,,,
Total Unusual Items Excluding Goodwill,0.0,96000000.0,,,COOP,,,,
Net Income From Continuing Operation Net Minority Interest,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Reconciled Depreciation,10000000.0,10000000.0,9000000.0,9000000.0,COOP,,,,
Reconciled Cost Of Revenue,323000000.0,312000000.0,278000000.0,258000000.0,COOP,,,,
EBITDA,82000000.0,304000000.0,212000000.0,53000000.0,COOP,,,,
EBIT,72000000.0,294000000.0,203000000.0,44000000.0,COOP,,,,
Normalized Income,46000000.0,199832000.0,142000000.0,37000000.0,COOP,,,,
Net Income From Continuing And Discontinued Operation,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Total Expenses,491000000.0,447000000.0,400000000.0,371000000.0,COOP,,,,
Diluted Average Shares,66700000.0,67668000.0,68606000.0,70479000.0,COOP,,,,
Basic Average Shares,65100000.0,66424000.0,67649000.0,69008000.0,COOP,,,,
Diluted EPS,0.69,4.06,2.07,0.52,COOP,,,,
Basic EPS,0.71,4.14,2.1,0.54,COOP,,,,
Diluted NI Availto Com Stockholders,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Net Income Common Stockholders,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Otherunder Preferred Stock Dividend,,,,0.0,COOP,,,,
Net Income,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Net Income Including Noncontrolling Interests,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Net Income Discontinuous Operations,,,,0.0,COOP,,,,
Net Income Continuous Operations,46000000.0,275000000.0,142000000.0,37000000.0,COOP,,,,
Tax Provision,23000000.0,77000000.0,56000000.0,-2000000.0,COOP,,,,
Pretax Income,69000000.0,352000000.0,198000000.0,35000000.0,COOP,,,,
Other Income Expense,-3000000.0,58000000.0,-5000000.0,-9000000.0,COOP,,,,
Other Non Operating Income Expenses,-3000000.0,-38000000.0,-5000000.0,-9000000.0,COOP,,,,
Special Income Charges,0.0,96000000.0,,,COOP,,,,
Restructuring And Mergern Acquisition,0.0,-96000000.0,,,COOP,,,,
Operating Income,72000000.0,294000000.0,203000000.0,44000000.0,COOP,,,,
Operating Expense,168000000.0,135000000.0,122000000.0,113000000.0,COOP,,,,
Selling General And Administration,168000000.0,135000000.0,122000000.0,113000000.0,COOP,,,,
General And Administrative Expense,168000000.0,135000000.0,122000000.0,113000000.0,COOP,,,,
Other Gand A,168000000.0,135000000.0,122000000.0,113000000.0,COOP,,,,
Gross Profit,240000000.0,429000000.0,325000000.0,157000000.0,COOP,,,,
Cost Of Revenue,323000000.0,312000000.0,278000000.0,258000000.0,COOP,,,,
Total Revenue,563000000.0,741000000.0,603000000.0,415000000.0,COOP,,,,
Operating Revenue,563000000.0,741000000.0,603000000.0,415000000.0,COOP,,,,
Tax Effect Of Unusual Items,-2445323940.408823,0.0,-345270000.0,0.0,BABA,,,,
Tax Rate For Calcs,0.288024,0.151528,0.17,0.148491,BABA,,,,
Normalized EBITDA,46041000000.0,42542000000.0,48364000000.0,19042000000.0,BABA,,,,
Total Unusual Items,-8490000000.0,0.0,-2031000000.0,0.0,BABA,,,,
Total Unusual Items Excluding Goodwill,-8490000000.0,0.0,-2031000000.0,0.0,BABA,,,,
Net Income From Continuing Operation Net Minority Interest,14555000000.0,27847000000.0,34242000000.0,23644000000.0,BABA,,,,
Reconciled Depreciation,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,
Reconciled Cost Of Revenue,156214000000.0,139664000000.0,142347000000.0,138823000000.0,BABA,,,,
EBITDA,37551000000.0,42542000000.0,46333000000.0,19042000000.0,BABA,,,,
EBIT,22950000000.0,40111000000.0,43854000000.0,16548000000.0,BABA,,,,
Net Interest Income,-5632000000.0,3282000000.0,-7682000000.0,8760000000.0,BABA,,,,
Interest Expense,5632000000.0,1854000000.0,7682000000.0,-8760000000.0,BABA,,,,
Interest Income,,5136000000.0,,,BABA,,,,
Normalized Income,20599676059.59118,27847000000.0,35927730000.0,23644000000.0,BABA,,,,
Net Income From Continuing And Discontinued Operation,14555000000.0,27847000000.0,34242000000.0,23644000000.0,BABA,,,,
Total Expenses,229347000000.0,191206000000.0,189635000000.0,192960000000.0,BABA,,,,
Total Operating Income As Reported,22511000000.0,33584000000.0,42490000000.0,15240000000.0,BABA,,,,
Diluted Average Shares,2540125000.0,2565750000.0,2576000000.0,2610250000.0,BABA,,,,
Basic Average Shares,2517250000.0,2541875000.0,2561625000.0,2581375000.0,BABA,,,,
Diluted EPS,5.68,10.8,13.28,8.96,BABA,,,,
Basic EPS,5.76,10.88,13.44,9.12,BABA,,,,
Diluted NI Availto Com Stockholders,14433000000.0,27640000000.0,34332000000.0,23478000000.0,BABA,,,,
Average Dilution Earnings,,-66000000.0,,,BABA,,,,
Net Income Common Stockholders,14433000000.0,27706000000.0,34332000000.0,23516000000.0,BABA,,,,
Otherunder Preferred Stock Dividend,122000000.0,141000000.0,-90000000.0,128000000.0,BABA,,,,
Net Income,14555000000.0,27847000000.0,34242000000.0,23644000000.0,BABA,,,,
Minority Interests,3838000000.0,1151000000.0,1242000000.0,1648000000.0,BABA,,,,
Net Income Including Noncontrolling Interests,10717000000.0,26696000000.0,33000000000.0,21996000000.0,BABA,,,,
Net Income Continuous Operations,10717000000.0,26696000000.0,33000000000.0,21996000000.0,BABA,,,,
Earnings From Equity Interest Net Of Tax,-1613000000.0,-5764000000.0,2850000000.0,446000000.0,BABA,,,,
Tax Provision,4988000000.0,5797000000.0,6022000000.0,3758000000.0,BABA,,,,
Pretax Income,17318000000.0,38257000000.0,36172000000.0,25308000000.0,BABA,,,,
Other Income Expense,-8051000000.0,1391000000.0,-667000000.0,1308000000.0,BABA,,,,
Other Non Operating Income Expenses,439000000.0,1391000000.0,1364000000.0,1308000000.0,BABA,,,,
Special Income Charges,-8490000000.0,0.0,-2031000000.0,0.0,BABA,,,,
Impairment Of Capital Assets,8490000000.0,0.0,2031000000.0,0.0,BABA,,,,
Net Non Operating Interest Income Expense,-5632000000.0,3282000000.0,-7682000000.0,8760000000.0,BABA,,,,
Interest Expense Non Operating,5632000000.0,1854000000.0,7682000000.0,-8760000000.0,BABA,,,,
Interest Income Non Operating,,5136000000.0,,,BABA,,,,
Operating Income,31001000000.0,33584000000.0,44521000000.0,15240000000.0,BABA,,,,
Operating Expense,73133000000.0,51542000000.0,47288000000.0,54137000000.0,BABA,,,,
Depreciation Amortization Depletion Income Statement,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,
Depreciation And Amortization In Income Statement,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,
Amortization,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,
Amortization Of Intangibles Income Statement,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,
Research And Development,13488000000.0,14218000000.0,10465000000.0,13880000000.0,BABA,,,,
Selling General And Administration,45044000000.0,34893000000.0,34344000000.0,37763000000.0,BABA,,,,
Selling And Marketing Expense,33783000000.0,25485000000.0,27047000000.0,24931000000.0,BABA,,,,
General And Administrative Expense,11261000000.0,9408000000.0,7297000000.0,12832000000.0,BABA,,,,
Other Gand A,11261000000.0,9408000000.0,7297000000.0,12832000000.0,BABA,,,,
Gross Profit,104134000000.0,85126000000.0,91809000000.0,69377000000.0,BABA,,,,
Cost Of Revenue,156214000000.0,139664000000.0,142347000000.0,138823000000.0,BABA,,,,
Total Revenue,260348000000.0,224790000000.0,234156000000.0,208200000000.0,BABA,,,,
Operating Revenue,260348000000.0,224790000000.0,234156000000.0,171613000000.0,BABA,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,DHI,,,,
Tax Rate For Calcs,0.234,0.244166,0.242,0.237,DHI,,,,
Normalized EBITDA,1191200000.0,1958500000.0,1755400000.0,1229800000.0,DHI,,,,
Net Income From Continuing Operation Net Minority Interest,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,
Reconciled Depreciation,20000000.0,21400000.0,23700000.0,26700000.0,DHI,,,,
Reconciled Cost Of Revenue,5719800000.0,7680700000.0,7141800000.0,5996200000.0,DHI,,,,
EBITDA,1191200000.0,1958500000.0,1755400000.0,1229800000.0,DHI,,,,
EBIT,1171200000.0,1937100000.0,1731700000.0,1203100000.0,DHI,,,,
Normalized Income,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,
Net Income From Continuing And Discontinued Operation,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,
Total Expenses,6554800000.0,8566900000.0,7993900000.0,6769800000.0,DHI,,,,
Diluted Average Shares,335700000.0,339300000.0,342300000.0,344900000.0,DHI,,,,
Basic Average Shares,333300000.0,336600000.0,339900000.0,342100000.0,DHI,,,,
Diluted EPS,2.82,4.45,3.9,2.73,DHI,,,,
